true,pred
0,0
9,0
0,0
0,0
1,0
0,0
5,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
11,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
25,0
9,0
2,0
0,0
0,0
0,0
2,0
1,0
0,0
0,0
7,0
4,0
5,0
2,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
8,0
0,0
0,0
8,0
3,0
0,0
0,0
10,0
0,0
0,0
0,0
0,0
0,0
1,0
2,0
4,0
1,0
3,0
1,0
0,0
1,0
4,0
0,0
0,0
0,0
0,0
2,0
1,0
11,0
2,0
1,0
0,0
2,0
2,0
10,0
0,0
0,0
12,0
0,0
6,0
1,0
0,0
0,0
6,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
6,0
5,0
0,0
0,0
10,0
0,0
5,0
9,0
15,0
0,0
0,0
0,0
1,0
11,0
0,0
0,0
0,0
0,0
0,0
1,0
3,0
0,0
16,0
5,0
23,0
16,0
0,0
17,0
3,0
3,0
0,0
0,0
0,0
4,0
9,0
3,0
0,0
0,0
1,0
0,0
23,0
16,0
0,0
0,0
0,0
0,0
0,0
1,0
3,0
0,0
0,0
3,0
0,0
0,0
0,0
1,0
19,0
0,0
0,0
0,0
3,0
3,0
7,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
8,0
5,0
1,0
0,0
0,0
4,0
3,0
0,0
1,0
0,0
0,0
0,0
0,0
5,0
4,0
0,0
0,0
0,0
10,0
14,0
9,0
0,0
10,0
4,0
0,0
0,0
0,0
1,0
0,0
2,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
3,0
0,0
12,0
1,0
2,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
21,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
